,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3199842,35071526,2019-06-27,t,$48.00,$48.00,1,1125
3199843,35071526,2019-06-28,t,$70.00,$70.00,1,1125
3199844,35071526,2019-06-29,t,$70.00,$70.00,1,1125
3199845,35071526,2019-06-30,t,$48.00,$48.00,1,1125
3200206,35072111,2019-06-26,t,$149.00,$149.00,2,1125
3200207,35072111,2019-06-27,t,$149.00,$149.00,2,1125
3200208,35072111,2019-06-28,t,$149.00,$149.00,2,1125
3200209,35072111,2019-06-29,t,$149.00,$149.00,2,1125
3200210,35072111,2019-06-30,t,$149.00,$149.00,31,1125
3200592,35004405,2019-06-30,t,$40.00,$40.00,1,365
3201317,35005941,2019-06-25,t,$125.00,$125.00,2,1125
3201318,35005941,2019-06-26,t,$125.00,$125.00,2,1125
3201319,35005941,2019-06-27,t,$125.00,$125.00,2,1125
3201682,35009891,2019-06-25,t,$101.00,$101.00,2,1125
3201683,35009891,2019-06-26,t,$100.00,$100.00,2,1125
3201684,35009891,2019-06-27,t,$100.00,$100.00,2,1125
3201685,35009891,2019-06-28,t,$100.00,$100.00,2,1125
3201686,35009891,2019-06-29,t,$100.00,$100.00,2,1125
3201687,35009891,2019-06-30,t,$100.00,$100.00,2,1125
3202272,35074835,2019-06-30,t,$41.00,$41.00,1,1125
3203002,35086813,2019-06-30,t,$66.00,$66.00,1,1125
3203364,35087396,2019-06-27,t,$45.00,$45.00,1,1125
3203365,35087396,2019-06-28,t,$45.00,$45.00,1,1125
3203366,35087396,2019-06-29,t,$45.00,$45.00,1,1125
3203367,35087396,2019-06-30,t,$45.00,$45.00,1,1125
3203732,35087705,2019-06-30,t,$35.00,$35.00,2,1125
3204473,35014628,2019-06-30,t,$35.00,$35.00,2,1125
3205302,35089018,2019-06-25,t,$145.00,$145.00,2,1125
3205303,35089018,2019-06-26,t,$199.00,$199.00,2,1125
3205304,35089018,2019-06-27,t,$199.00,$199.00,2,1125
3205305,35089018,2019-06-28,t,$225.00,$225.00,2,1125
3206398,35095901,2019-06-26,t,$45.00,$45.00,1,1125
3206399,35095901,2019-06-27,t,$45.00,$45.00,1,1125
3206400,35095901,2019-06-28,t,$45.00,$45.00,1,1125
3206401,35095901,2019-06-29,t,$45.00,$45.00,1,1125
3206402,35095901,2019-06-30,t,$45.00,$45.00,1,1125
3207403,35021133,2019-06-25,t,$155.00,$155.00,1,160
3207404,35021133,2019-06-26,t,$155.00,$155.00,1,160
3207405,35021133,2019-06-27,t,$155.00,$155.00,1,160
3207406,35021133,2019-06-28,t,$155.00,$155.00,1,160
3207407,35021133,2019-06-29,t,$155.00,$155.00,1,160
3207408,35021133,2019-06-30,t,$155.00,$155.00,1,160
3207689,35097179,2019-06-30,t,$18.00,$18.00,1,1125
3208126,35097926,2019-06-30,t,$33.00,$33.00,2,1125
3208721,35026921,2019-06-30,t,$139.00,$139.00,2,14
3209151,35026928,2019-06-30,t,$139.00,$139.00,2,14
3209516,35026932,2019-06-30,t,$139.00,$139.00,2,14
3209629,35099790,2019-06-26,t,$75.00,$75.00,1,5
3209630,35099790,2019-06-27,t,$75.00,$75.00,1,5
3209631,35099790,2019-06-28,t,$75.00,$75.00,1,5
3209632,35099790,2019-06-29,t,$75.00,$75.00,1,5
3209633,35099790,2019-06-30,t,$75.00,$75.00,1,5
3209998,35100706,2019-06-30,t,$33.00,$33.00,1,333
3210374,35102032,2019-06-25,t,"$4,500.00","$4,500.00",3,7
3210375,35102032,2019-06-26,t,"$4,500.00","$4,500.00",3,7
3210376,35102032,2019-06-27,t,"$4,500.00","$4,500.00",3,7
3210377,35102032,2019-06-28,t,"$4,500.00","$4,500.00",3,7
3210378,35102032,2019-06-29,t,"$4,500.00","$4,500.00",3,7
3210379,35102032,2019-06-30,t,"$4,500.00","$4,500.00",3,7
3210832,35026934,2019-06-30,t,$139.00,$139.00,2,14
3211304,35026939,2019-06-30,t,$139.00,$139.00,2,14
3211669,35026961,2019-06-30,t,$139.00,$139.00,2,14
3211847,35103556,2019-06-26,t,$85.00,$85.00,3,14
